Y=American_comedy_films and W=ANY,98396
Y=American_drama_films and W=ANY,140364
Y=American_film_actresses and W=ANY,310672
Y=American_film_directors and W=ANY,192759
Y=American_films and W=ANY,671463
Y=American_male_film_actors and W=ANY,455945
Y=American_male_television_actors and W=ANY,384611
Y=American_military_personnel_of_World_War_II and W=ANY,324184
Y=American_people_of_Irish_descent and W=ANY,246511
Y=American_television_actresses and W=ANY,264675
Y=Arctiidae and W=ANY,6010
Y=Articles_containing_video_clips and W=ANY,494691
Y=Association_football_defenders and W=ANY,288373
Y=Association_football_forwards and W=ANY,332853
Y=Association_football_goalkeepers and W=ANY,173697
Y=Association_football_midfielders and W=ANY,338127
Y=Asteroids_named_for_people and W=ANY,100465
Y=Australian_rules_footballers_from_Victoria_(Australia) and W=ANY,173808
Y=Black-and-white_films and W=ANY,430366
Y=Brazilian_footballers and W=ANY,94919
Y=British_films and W=ANY,231308
Y=Columbia_University_alumni and W=ANY,241220
Y=Deaths_from_myocardial_infarction and W=ANY,266012
Y=English-language_albums and W=ANY,397461
Y=English-language_films and W=ANY,1087367
Y=English-language_journals and W=ANY,126046
Y=English-language_television_programming and W=ANY,357680
Y=English_cricketers and W=ANY,164423
Y=English_footballers and W=ANY,541265
Y=Fellows_of_the_Royal_Society and W=ANY,249406
Y=French_films and W=ANY,116752
Y=German_footballers and W=ANY,67762
Y=Guggenheim_Fellows and W=ANY,355348
Y=Harvard_University_alumni and W=ANY,519041
Y=Hindi-language_films and W=ANY,117367
Y=Indian_films and W=ANY,258860
Y=Insects_of_Europe and W=ANY,102564
Y=Italian_films and W=ANY,73890
Y=Italian_footballers and W=ANY,73870
Y=Main_Belt_asteroids and W=ANY,190128
Y=Major_League_Baseball_pitchers and W=ANY,417647
Y=Rivers_of_Romania and W=ANY,74586
Y=Russian_footballers and W=ANY,91504
Y=Scottish_footballers and W=ANY,167767
Y=Serie_A_players and W=ANY,115399
Y=The_Football_League_players and W=ANY,604258
Y=Villages_in_Turkey and W=ANY,5010
Y=Villages_in_the_Czech_Republic and W=ANY,171685
Y=Windows_games and W=ANY,326301
Y=Yale_University_alumni and W=ANY,212710
